"";"x"
"1";NA
"2";NA
"3";40.7125000000051
"4";265.849999999997
"5";30.6374999999989
"6";-176.287499999995
"7";-25.5500000000029
"8";-48.4624999999996
"9";24.1374999999971
"10";25.3999999999996
"11";-30.9499999999989
"12";48.0625
"13";47.0124999999989
"14";2.43749999999818
"15";106.937500000005
"16";-64.1124999999975
"17";-86.4000000000051
"18";-221.862499999997
"19";179.062499999995
"20";83.0499999999975
"21";-190.524999999996
"22";41.0874999999978
"23";63.5999999999985
"24";-75.7375000000011
"25";45.462499999996
"26";222.350000000009
"27";-140.750000000007
"28";65.2124999999978
"29";-149.662499999995
"30";-131.062499999996
"31";-12.5625
"32";236.299999999996
"33";227.187500000004
"34";553.962499999998
"35";401.950000000008
"36";-2015.52500000001
"37";NA
"38";NA
