"";"x"
"1";NA
"2";NA
"3";-41.8464400046103
"4";-5.21636823621282
"5";26.2747746042812
"6";20.7940222492657
"7";-48.247583543407
"8";-13.9984449112773
"9";44.3525089509898
"10";33.6390428409732
"11";-58.1531284317407
"12";-20.0149141808529
"13";39.9261970763481
"14";31.4290844128487
"15";-46.9370205376238
"16";-4.35825149407458
"17";17.9445404786494
"18";13.3448671160645
"19";-14.2334977546373
"20";-13.9465066575242
"21";9.65811867789364
"22";44.3097620717045
"23";-56.4443217840953
"24";-9.31688871195036
"25";30.7805554089186
"26";35.630608561141
"27";-55.3203342964933
"28";-16.0921927185319
"29";39.6444682383623
"30";39.9047332859886
"31";-56.5273466017669
"32";-19.9217449009795
"33";33.9785586124327
"34";53.9306033012466
"35";-37.8551891724445
"36";-80.3177533064269
"37";NA
"38";NA
